Identifier,County,Precinct Name,Location Name,Address,City,Zip,Auth 1,Auth 2,,,,,,,,
54,Benton,Walford,WALFORD CITY HALL - COMMUNITY ROOM,120 5TH ST N,WALFORD,52351,C8EHoIhy,bQl4eBB7,0,0,0,0,0,0,0,0
55,Black Hawk,Barclay Lester Dunkerton,DUNKERTON COMMUNITY HALL,115 W MAIN ST,DUNKERTON,50626,FcjIoMGq,T28teQVB,0,0,0,0,0,0,0,0
56,Black Hawk,Bennington,DUNKERTON PUBLIC LIBRARY,203 E TOWER ST,DUNKERTON,50626,il5rnUQn,iNCWOLvt,0,0,0,0,0,0,0,0
57,Black Hawk,Big Creek La Porte,LAPORTE CITY ELEMENTARY - GYM,515 FILLMORE ST,LAPORTE CITY,50651,jNvqCRmR,beeI4jHl,0,0,0,0,0,0,0,0
58,Black Hawk,Black Hawk Hudson Lincoln,"HUDSON HIGH SCHOOL, GYM",245 S WASHINGTON ST,HUDSON,50643,ajGqxkZO,yXzLrGIk,0,0,0,0,0,0,0,0
59,Black Hawk,CF W1 P1,"NORTH CEDAR ELEMENTARY, GYM",2419 FERN AVE ,CEDAR FALLS,50613,uzafp8kF,hbE39w58,0,0,0,0,0,0,0,0
60,Black Hawk,CF W1 P2," LINCOLN ELEMENTARY, LUNCHROOM",321 W 8TH ST,CEDAR FALLS,50613,8wlOJo7M,9LcOZEga,0,0,0,0,0,0,0,0
61,Black Hawk,CF W1 P3,"LINCOLN ELEMENTARY, GYM",321 W 8TH ST,CEDAR FALLS,50613,3Ea9GcsP,lIcVyRRP,0,0,0,0,0,0,0,0
62,Black Hawk,CF W2 P1,"ALDRICH ELEMENTARY, LUNCHROOM",2526 ASHWORTH DR,CEDAR FALLS,50613,52g9u23V,cedvg8J5,0,0,0,0,0,0,0,0
63,Black Hawk,CF W2 P2 & CF Twp,ALDRICH ELEMENTARY GYM,2526 ASHWORTH DR,CEDAR FALLS,50613,6TZaTxda,QO6RuvUs,0,0,0,0,0,0,0,0
64,Black Hawk,CF W2 P3,"SOUTHDALE ELEMENTARY, GYM",627 ORCHARD DR,CEDAR FALLS,50613,QR0LvGxP,a31NHkEk,0,0,0,0,0,0,0,0
65,Black Hawk,CF W3 P1,"HANSEN ELEMENTARY, LUNCHROOM",616 HOLMES DR,CEDAR FALLS,50613,WZ6H3ZLB,loIeL2SC,0,0,0,0,0,0,0,0
66,Black Hawk,CF W3 P2,"HANSEN ELEMENTARY, GYM",616 HOLMES DR,CEDAR FALLS,50613,rRlejnnj,Qh2uTEiT,0,0,0,0,0,0,0,0
